Time,Oxygen Level,Pulse Rate,Motion
07:45:01 PM May 01 2023,94,60,0
07:45:05 PM May 01 2023,95,61,0
07:45:09 PM May 01 2023,94,61,1
07:45:13 PM May 01 2023,95,60,0
07:45:17 PM May 01 2023,95,60,0
07:45:21 PM May 01 2023,95,59,0
07:45:25 PM May 01 2023,95,59,0
07:45:29 PM May 01 2023,95,60,0
07:45:33 PM May 01 2023,95,59,0
07:45:37 PM May 01 2023,95,60,0
07:45:41 PM May 01 2023,95,60,0
07:45:45 PM May 01 2023,95,59,0
07:45:49 PM May 01 2023,95,58,0
07:45:53 PM May 01 2023,95,58,0
07:45:57 PM May 01 2023,95,58,4
07:46:01 PM May 01 2023,95,59,0
07:46:05 PM May 01 2023,95,60,0
07:46:09 PM May 01 2023,95,60,0
07:46:13 PM May 01 2023,95,61,0
07:46:17 PM May 01 2023,94,61,0
07:46:21 PM May 01 2023,94,61,0
07:46:25 PM May 01 2023,94,61,0
07:46:29 PM May 01 2023,93,62,1
07:46:33 PM May 01 2023,93,62,1
07:46:37 PM May 01 2023,93,62,13
07:46:41 PM May 01 2023,93,62,2
07:46:45 PM May 01 2023,93,62,0
07:46:49 PM May 01 2023,93,62,34
07:46:53 PM May 01 2023,95,62,9
07:46:57 PM May 01 2023,95,61,4
07:47:01 PM May 01 2023,96,61,0
07:47:05 PM May 01 2023,96,58,0
07:47:09 PM May 01 2023,95,59,0
07:47:13 PM May 01 2023,95,58,0
07:47:17 PM May 01 2023,95,60,0
07:47:21 PM May 01 2023,95,59,0
07:47:25 PM May 01 2023,95,58,0
07:47:29 PM May 01 2023,95,58,0
07:47:33 PM May 01 2023,95,58,0
07:47:37 PM May 01 2023,96,58,0
07:47:41 PM May 01 2023,96,58,0
07:47:45 PM May 01 2023,96,58,0
07:47:49 PM May 01 2023,95,59,0
07:47:53 PM May 01 2023,95,61,0
07:47:57 PM May 01 2023,94,63,0
07:48:01 PM May 01 2023,94,61,0
07:48:05 PM May 01 2023,95,59,0
07:48:09 PM May 01 2023,95,59,0
07:48:13 PM May 01 2023,95,58,0
07:48:17 PM May 01 2023,94,58,0
07:48:21 PM May 01 2023,94,57,7
07:48:25 PM May 01 2023,94,58,1
07:48:29 PM May 01 2023,94,58,0
07:48:33 PM May 01 2023,94,59,0
07:48:37 PM May 01 2023,94,60,0
07:48:41 PM May 01 2023,94,60,0
07:48:45 PM May 01 2023,94,60,8
07:48:49 PM May 01 2023,94,62,20
07:48:53 PM May 01 2023,93,63,2
07:48:57 PM May 01 2023,93,65,0
07:49:01 PM May 01 2023,94,65,1
07:49:05 PM May 01 2023,94,66,2
07:49:09 PM May 01 2023,94,66,0
07:49:13 PM May 01 2023,94,62,2
07:49:17 PM May 01 2023,94,60,1
07:49:21 PM May 01 2023,94,60,3
07:49:25 PM May 01 2023,93,58,0
07:49:29 PM May 01 2023,92,57,1
07:49:33 PM May 01 2023,92,57,15
07:49:37 PM May 01 2023,95,58,0
07:49:41 PM May 01 2023,96,57,0
07:49:45 PM May 01 2023,96,57,0
