Time,Oxygen Level,Pulse Rate,Motion
01:02:45 AM Jun 08 2023,98,71,19
01:02:49 AM Jun 08 2023,98,71,31
01:02:53 AM Jun 08 2023,98,71,29
01:02:57 AM Jun 08 2023,98,71,10
01:03:01 AM Jun 08 2023,98,71,3
01:03:05 AM Jun 08 2023,98,71,7
01:03:09 AM Jun 08 2023,98,71,34
01:03:13 AM Jun 08 2023,98,71,8
01:03:17 AM Jun 08 2023,98,71,34
01:03:21 AM Jun 08 2023,98,71,16
01:03:25 AM Jun 08 2023,98,71,4
01:03:29 AM Jun 08 2023,98,71,4
01:03:33 AM Jun 08 2023,99,75,0
01:03:37 AM Jun 08 2023,98,72,5
01:03:41 AM Jun 08 2023,98,72,2
01:03:45 AM Jun 08 2023,96,73,1
01:03:49 AM Jun 08 2023,95,68,0
01:03:53 AM Jun 08 2023,96,68,0
01:03:57 AM Jun 08 2023,96,66,1
01:04:01 AM Jun 08 2023,97,66,0
01:04:05 AM Jun 08 2023,97,66,1
01:04:09 AM Jun 08 2023,97,66,1
01:04:13 AM Jun 08 2023,97,66,0
01:04:17 AM Jun 08 2023,97,66,0
01:04:21 AM Jun 08 2023,97,66,1
01:04:25 AM Jun 08 2023,97,66,0
01:04:29 AM Jun 08 2023,97,65,2
01:04:33 AM Jun 08 2023,98,66,1
01:04:37 AM Jun 08 2023,98,66,0
01:04:41 AM Jun 08 2023,98,66,0
01:04:45 AM Jun 08 2023,98,68,0
01:04:49 AM Jun 08 2023,98,68,1
01:04:53 AM Jun 08 2023,98,68,0
01:04:57 AM Jun 08 2023,98,65,1
01:05:01 AM Jun 08 2023,98,66,0
01:05:05 AM Jun 08 2023,98,66,0
01:05:09 AM Jun 08 2023,98,66,0
01:05:13 AM Jun 08 2023,98,66,0
01:05:17 AM Jun 08 2023,98,66,1
01:05:21 AM Jun 08 2023,98,65,1
01:05:25 AM Jun 08 2023,98,65,1
01:05:29 AM Jun 08 2023,98,65,0
01:05:33 AM Jun 08 2023,97,65,0
01:05:37 AM Jun 08 2023,97,65,0
01:05:41 AM Jun 08 2023,97,65,1
01:05:45 AM Jun 08 2023,97,65,6
01:05:49 AM Jun 08 2023,97,65,10
01:05:53 AM Jun 08 2023,97,65,13
01:05:57 AM Jun 08 2023,97,65,29
01:06:01 AM Jun 08 2023,97,65,34
01:06:05 AM Jun 08 2023,97,65,5
01:06:09 AM Jun 08 2023,97,65,19
01:06:13 AM Jun 08 2023,97,65,1
01:06:17 AM Jun 08 2023,97,64,0
01:06:21 AM Jun 08 2023,97,64,45
01:06:25 AM Jun 08 2023,97,64,8
01:06:29 AM Jun 08 2023,97,64,18
01:06:33 AM Jun 08 2023,97,64,4
01:06:37 AM Jun 08 2023,97,64,11
01:06:41 AM Jun 08 2023,97,64,31
01:06:45 AM Jun 08 2023,97,64,0
01:06:49 AM Jun 08 2023,97,64,2
01:06:53 AM Jun 08 2023,97,64,2
01:06:57 AM Jun 08 2023,98,60,0
01:07:01 AM Jun 08 2023,98,61,7
01:07:05 AM Jun 08 2023,97,63,0
01:07:09 AM Jun 08 2023,97,62,0
01:07:13 AM Jun 08 2023,97,62,18
01:07:17 AM Jun 08 2023,97,62,15
01:07:21 AM Jun 08 2023,97,62,6
01:07:25 AM Jun 08 2023,97,62,22
01:07:29 AM Jun 08 2023,97,62,11
01:07:33 AM Jun 08 2023,97,62,1
01:07:37 AM Jun 08 2023,97,62,26
01:07:41 AM Jun 08 2023,97,62,2
01:07:45 AM Jun 08 2023,97,62,17
01:07:49 AM Jun 08 2023,97,62,1
01:07:53 AM Jun 08 2023,97,62,4
01:07:57 AM Jun 08 2023,97,62,0
01:08:01 AM Jun 08 2023,99,63,0
01:08:05 AM Jun 08 2023,99,60,1
01:08:09 AM Jun 08 2023,97,59,0
01:08:13 AM Jun 08 2023,96,62,0
01:08:17 AM Jun 08 2023,95,63,0
01:08:21 AM Jun 08 2023,94,61,0
01:08:25 AM Jun 08 2023,94,60,0
01:08:29 AM Jun 08 2023,94,60,0
01:08:33 AM Jun 08 2023,94,62,0
01:08:37 AM Jun 08 2023,94,64,0
01:08:41 AM Jun 08 2023,93,64,0
01:08:45 AM Jun 08 2023,94,65,0
01:08:49 AM Jun 08 2023,94,65,0
01:08:53 AM Jun 08 2023,94,66,0
01:08:57 AM Jun 08 2023,94,65,0
01:09:01 AM Jun 08 2023,94,66,0
01:09:05 AM Jun 08 2023,93,66,0
01:09:09 AM Jun 08 2023,93,67,0
01:09:13 AM Jun 08 2023,93,66,0
01:09:17 AM Jun 08 2023,93,69,0
01:09:21 AM Jun 08 2023,94,66,0
01:09:25 AM Jun 08 2023,94,65,0
01:09:29 AM Jun 08 2023,94,65,0
01:09:33 AM Jun 08 2023,94,67,0
01:09:37 AM Jun 08 2023,94,65,0
01:09:41 AM Jun 08 2023,94,66,0
01:09:45 AM Jun 08 2023,95,68,0
01:09:49 AM Jun 08 2023,95,68,0
01:09:53 AM Jun 08 2023,95,67,0
01:09:57 AM Jun 08 2023,95,66,0
01:10:01 AM Jun 08 2023,95,68,0
01:10:05 AM Jun 08 2023,95,67,13
01:10:09 AM Jun 08 2023,95,67,2
01:10:13 AM Jun 08 2023,96,67,0
01:10:17 AM Jun 08 2023,96,67,0
01:10:21 AM Jun 08 2023,96,67,0
01:10:25 AM Jun 08 2023,96,66,0
01:10:29 AM Jun 08 2023,96,66,0
01:10:33 AM Jun 08 2023,95,67,0
01:10:37 AM Jun 08 2023,95,67,0
01:10:41 AM Jun 08 2023,96,65,0
01:10:45 AM Jun 08 2023,96,63,0
01:10:49 AM Jun 08 2023,96,62,0
01:10:53 AM Jun 08 2023,96,61,0
01:10:57 AM Jun 08 2023,96,60,1
01:11:01 AM Jun 08 2023,96,62,0
01:11:05 AM Jun 08 2023,95,63,0
01:11:09 AM Jun 08 2023,96,62,0
01:11:13 AM Jun 08 2023,96,62,0
01:11:17 AM Jun 08 2023,95,63,0
01:11:21 AM Jun 08 2023,96,64,0
01:11:25 AM Jun 08 2023,96,64,0
01:11:29 AM Jun 08 2023,96,63,0
01:11:33 AM Jun 08 2023,96,63,0
01:11:37 AM Jun 08 2023,95,63,0
01:11:41 AM Jun 08 2023,96,63,0
01:11:45 AM Jun 08 2023,96,63,0
01:11:49 AM Jun 08 2023,96,59,0
01:11:53 AM Jun 08 2023,96,57,0
01:11:57 AM Jun 08 2023,96,56,0
01:12:01 AM Jun 08 2023,95,56,0
01:12:05 AM Jun 08 2023,95,57,0
01:12:09 AM Jun 08 2023,95,59,0
01:12:13 AM Jun 08 2023,96,60,0
01:12:17 AM Jun 08 2023,95,61,0
01:12:21 AM Jun 08 2023,95,61,0
01:12:25 AM Jun 08 2023,95,61,0
01:12:29 AM Jun 08 2023,95,59,0
01:12:33 AM Jun 08 2023,95,59,0
01:12:37 AM Jun 08 2023,95,59,0
01:12:41 AM Jun 08 2023,95,60,0
01:12:45 AM Jun 08 2023,95,60,0
01:12:49 AM Jun 08 2023,95,59,0
01:12:53 AM Jun 08 2023,95,58,0
01:12:57 AM Jun 08 2023,95,56,0
01:13:01 AM Jun 08 2023,95,55,0
01:13:05 AM Jun 08 2023,95,54,0
01:13:09 AM Jun 08 2023,95,58,0
01:13:13 AM Jun 08 2023,95,56,0
01:13:17 AM Jun 08 2023,95,56,0
01:13:21 AM Jun 08 2023,95,61,0
01:13:25 AM Jun 08 2023,95,58,0
01:13:29 AM Jun 08 2023,96,54,0
01:13:33 AM Jun 08 2023,96,55,0
01:13:37 AM Jun 08 2023,96,58,0
01:13:41 AM Jun 08 2023,95,58,0
01:13:45 AM Jun 08 2023,95,57,0
01:13:49 AM Jun 08 2023,95,54,0
01:13:53 AM Jun 08 2023,95,56,0
01:13:57 AM Jun 08 2023,95,55,0
01:14:01 AM Jun 08 2023,96,53,0
01:14:05 AM Jun 08 2023,96,52,1
01:14:09 AM Jun 08 2023,95,54,0
01:14:13 AM Jun 08 2023,95,55,0
01:14:17 AM Jun 08 2023,95,52,0
01:14:21 AM Jun 08 2023,95,56,0
01:14:25 AM Jun 08 2023,95,54,0
01:14:29 AM Jun 08 2023,95,55,0
01:14:33 AM Jun 08 2023,95,57,0
01:14:37 AM Jun 08 2023,95,60,0
01:14:41 AM Jun 08 2023,95,61,0
01:14:45 AM Jun 08 2023,95,61,0
01:14:49 AM Jun 08 2023,95,61,0
01:14:53 AM Jun 08 2023,95,62,0
01:14:57 AM Jun 08 2023,95,61,0
01:15:01 AM Jun 08 2023,96,58,0
01:15:05 AM Jun 08 2023,96,56,0
01:15:09 AM Jun 08 2023,96,54,0
01:15:13 AM Jun 08 2023,96,53,0
01:15:17 AM Jun 08 2023,96,50,0
01:15:21 AM Jun 08 2023,96,49,0
01:15:25 AM Jun 08 2023,96,48,0
01:15:29 AM Jun 08 2023,95,47,0
